167.94.138.195 - - [15/Sep/2025:00:03:33 +0000] "GET /wiki HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
193.32.162.134 - - [15/Sep/2025:00:05:29 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:138.0) Gecko/20100101 Firefox/138.0"
193.32.162.134 - - [15/Sep/2025:00:05:29 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:138.0) Gecko/20100101 Firefox/138.0"
127.0.0.1 - - [15/Sep/2025:00:05:30 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
127.0.0.1 - - [15/Sep/2025:00:05:30 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
127.0.0.1 - - [15/Sep/2025:00:45:55 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0"
127.0.0.1 - - [15/Sep/2025:00:45:55 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0"
127.0.0.1 - - [15/Sep/2025:01:28:00 +0000] "GET / HTTP/1.1" 200 625 "-" "Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity"
127.0.0.1 - - [15/Sep/2025:01:48:09 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
127.0.0.1 - - [15/Sep/2025:02:27:28 +0000] "GET /.env HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
127.0.0.1 - - [15/Sep/2025:02:27:29 +0000] "POST / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
198.235.24.104 - - [15/Sep/2025:02:27:57 +0000] "GET / HTTP/1.0" 200 625 "-" "Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity"
20.106.32.128 - - [15/Sep/2025:03:26:17 +0000] "GET /v2/ HTTP/1.1" 200 625 "-" "Mozilla/5.0 zgrab/0.x"
127.0.0.1 - - [15/Sep/2025:03:33:29 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
127.0.0.1 - - [15/Sep/2025:03:40:38 +0000] "GET /.env HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Linux; U; Android 4.0.4; en-us; SAMSUNG-SGH-I747 Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
127.0.0.1 - - [15/Sep/2025:03:40:38 +0000] "GET /api/.env HTTP/1.1" 404 196 "-" "Mozilla/5.0 (X11; U; Linux i686; pt-BR; rv:1.8) Gecko/20051111 Firefox/1.5"
127.0.0.1 - - [15/Sep/2025:03:40:39 +0000] "GET /backend/.env HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Linux; U; Android 4.4.2; en-ca; SGH-I747M-parrot Build/KOT49H) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
167.94.138.198 - - [15/Sep/2025:03:50:58 +0000] "GET /robots.txt HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
127.0.0.1 - - [15/Sep/2025:04:12:16 +0000] "GET / HTTP/1.1" 200 625 "-" "HTTP Banner Detection (https://security.ipip.net)"
127.0.0.1 - - [15/Sep/2025:04:15:12 +0000] "GET /version HTTP/1.1" 200 625 "-" "Mozilla/5.0 zgrab/0.x"
3.134.148.59 - - [15/Sep/2025:05:04:30 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36"
3.134.148.59 - - [15/Sep/2025:05:04:30 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36"
127.0.0.1 - - [15/Sep/2025:05:18:15 +0000] "GET / HTTP/1.1" 200 625 "-" "curl/7.61.1"
127.0.0.1 - - [15/Sep/2025:05:18:15 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "-" "curl/7.61.1"
127.0.0.1 - - [15/Sep/2025:05:44:35 +0000] "GET /.env HTTP/1.1" 200 625 "-" "Mozilla/5.0; Keydrop.io/1.0(onlyscans.com/about);"
127.0.0.1 - - [15/Sep/2025:05:44:36 +0000] "GET /.git/config HTTP/1.1" 200 625 "-" "Mozilla/5.0; Keydrop.io/1.0(onlyscans.com/about);"
127.0.0.1 - - [15/Sep/2025:05:51:50 +0000] "GET /.git/index HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Linux; Android 7.1.2; Redmi 5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Mobile Safari/537.36"
127.0.0.1 - - [15/Sep/2025:06:05:47 +0000] "GET /.env HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
127.0.0.1 - - [15/Sep/2025:06:05:48 +0000] "POST / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
127.0.0.1 - - [15/Sep/2025:06:37:37 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.3"
127.0.0.1 - - [15/Sep/2025:07:49:41 +0000] "GET /.env HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
127.0.0.1 - - [15/Sep/2025:07:49:42 +0000] "POST / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
127.0.0.1 - - [15/Sep/2025:09:27:51 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0"
