45.156.128.152 - - [01/Nov/2025:01:23:15 +0000] "GET /api/session/properties HTTP/1.1" 404 224 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
45.156.128.152 - - [01/Nov/2025:01:23:31 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
45.156.128.154 - - [01/Nov/2025:01:23:41 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
45.156.128.152 - - [01/Nov/2025:01:23:51 +0000] "GET /ext-js/app/common/zld_product_spec.js HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
45.156.128.154 - - [01/Nov/2025:01:23:51 +0000] "GET /cgi-bin/authLogin.cgi HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
36.255.98.47 - - [01/Nov/2025:01:34:52 +0000] "GET /admin HTTP/1.1" 200 625 "-" "Mozilla/5.0 zgrab/0.x"
127.0.0.1 - - [01/Nov/2025:04:09:57 +0000] "GET /wp-login.php HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:09:57 +0000] "GET /wp-admin/ HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15"
127.0.0.1 - - [01/Nov/2025:04:09:58 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:09:58 +0000] "GET /wp-admin/admin-ajax.php HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15"
127.0.0.1 - - [01/Nov/2025:04:09:58 +0000] "GET /wp-admin/load-scripts.php HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:09:59 +0000] "GET /wp-admin/load-styles.php HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:09:59 +0000] "GET /wp-includes/js/jquery/jquery.js HTTP/1.1" 200 625 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0.2"
127.0.0.1 - - [01/Nov/2025:04:10:00 +0000] "GET /wp-includes/css/dashicons.css HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15"
127.0.0.1 - - [01/Nov/2025:04:10:00 +0000] "GET /wp-content/themes/ HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15"
127.0.0.1 - - [01/Nov/2025:04:10:00 +0000] "GET /wp-content/plugins/ HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15"
127.0.0.1 - - [01/Nov/2025:04:10:00 +0000] "GET /wp-includes/version.php HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
