87.236.176.55 - - [09/Nov/2025:01:01:58 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; InternetMeasurement/1.0; +https://internet-measurement.com/)"
127.0.0.1 - - [09/Nov/2025:01:57:04 +0000] "GET /robots.txt HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36; compatible; OAI-SearchBot/1.0; robots.txt; +https://openai.com/searchbot"
127.0.0.1 - - [09/Nov/2025:01:57:05 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
167.94.138.179 - - [09/Nov/2025:03:00:31 +0000] "GET /wiki HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
167.94.138.179 - - [09/Nov/2025:03:00:31 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
66.132.153.129 - - [09/Nov/2025:03:00:43 +0000] "GET /.well-known/security.txt HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
66.132.153.129 - - [09/Nov/2025:03:00:44 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
118.193.37.207 - - [09/Nov/2025:03:29:08 +0000] "GET / HTTP/1.1" 200 625 "-" "-"
118.193.37.207 - - [09/Nov/2025:03:29:08 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
118.193.37.207 - - [09/Nov/2025:03:29:09 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "http://161.35.1.46:5000" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
118.193.37.207 - - [09/Nov/2025:03:29:10 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "http://161.35.1.46:5000" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
118.193.37.207 - - [09/Nov/2025:03:29:11 +0000] "GET /assets/index-DkxyLGk1.js HTTP/1.1" 200 501020 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
152.32.252.133 - - [09/Nov/2025:03:29:22 +0000] "GET / HTTP/1.1" - - "-" "-"
152.32.252.133 - - [09/Nov/2025:03:29:25 +0000] "GET / HTTP/1.0" 200 625 "-" "-"
152.32.252.133 - - [09/Nov/2025:03:29:43 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
152.32.252.133 - - [09/Nov/2025:03:29:43 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "http://161.35.1.46:5000" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
152.32.252.133 - - [09/Nov/2025:03:29:44 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "http://161.35.1.46:5000" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
152.32.252.133 - - [09/Nov/2025:03:29:45 +0000] "GET /assets/index-DkxyLGk1.js HTTP/1.1" 200 501020 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
198.235.24.78 - - [09/Nov/2025:03:33:07 +0000] "GET / HTTP/1.0" 200 625 "-" "Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity"
206.189.116.19 - - [09/Nov/2025:06:13:22 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:139.0) Gecko/20100101 Firefox/139.0"
206.189.116.19 - - [09/Nov/2025:06:13:22 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "http://161.35.1.46:5000/" "Mozilla/5.0 (X11; Linux x86_64; rv:139.0) Gecko/20100101 Firefox/139.0"
3.130.96.91 - - [09/Nov/2025:06:35:59 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36"
66.132.153.131 - - [09/Nov/2025:09:04:00 +0000] "GET /login HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
66.132.153.131 - - [09/Nov/2025:09:04:01 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
206.168.34.223 - - [09/Nov/2025:09:05:06 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
206.168.34.223 - - [09/Nov/2025:09:05:08 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
206.168.34.223 - - [09/Nov/2025:09:05:51 +0000] "GET /login HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
206.168.34.223 - - [09/Nov/2025:09:05:53 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
206.168.34.57 - - [09/Nov/2025:09:12:33 +0000] "GET /sitemap.xml HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
206.168.34.57 - - [09/Nov/2025:09:12:43 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
198.235.24.169 - - [09/Nov/2025:09:42:42 +0000] "GET /.well-known/security.txt HTTP/1.1" 200 625 "-" "Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity"
127.0.0.1 - - [09/Nov/2025:10:10:24 +0000] "GET /robots.txt HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36; compatible; OAI-SearchBot/1.0; robots.txt; +https://openai.com/searchbot"
162.243.4.61 - - [09/Nov/2025:10:31:25 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Nov/2025:11:19:23 +0000] "GET /.env HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.3"
127.0.0.1 - - [09/Nov/2025:12:44:04 +0000] "GET /wp-content/plugins/hellopress/wp_filemanager.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:04 +0000] "GET /shoha.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:04 +0000] "GET /past.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:04 +0000] "GET /20ojy.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:04 +0000] "GET /block-bindings.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:05 +0000] "GET /%20colors.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:05 +0000] "GET /layout.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:05 +0000] "GET /end.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:05 +0000] "GET /uploat.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:05 +0000] "GET /uploxe.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:05 +0000] "GET /credits.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:05 +0000] "GET /pwnd.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:05 +0000] "GET /Jcrop.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:05 +0000] "GET /go.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:05 +0000] "GET /alfa-rex.php7 HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:06 +0000] "GET /pepe.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:06 +0000] "GET /pt.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:06 +0000] "GET /about.php7 HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:06 +0000] "GET /abruzi.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:06 +0000] "GET /1wx.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:06 +0000] "GET /gool.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:06 +0000] "GET /wp-is.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:06 +0000] "GET /ae.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:07 +0000] "GET /Auth.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:07 +0000] "GET /ropyx.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:07 +0000] "GET /14.php HTTP/1.1" 200 625 "-" "-"
