72.14.178.148 - - [03/Nov/2025:01:33:12 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 zgrab/0.x"
45.79.181.223 - - [03/Nov/2025:01:33:16 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 13_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
87.236.176.214 - - [03/Nov/2025:03:31:27 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; InternetMeasurement/1.0; +https://internet-measurement.com/)"
205.210.31.182 - - [03/Nov/2025:04:31:10 +0000] "GET / HTTP/1.0" 200 625 "-" "Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity"
95.215.0.144 - - [03/Nov/2025:05:25:15 +0000] "GET / HTTP/1.0" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149  Safari/537.36"
95.215.0.144 - - [03/Nov/2025:05:25:19 +0000] "GET /v2/_catalog HTTP/1.1" 200 625 "-" "Go-http-client/1.1"
127.0.0.1 - - [03/Nov/2025:06:21:02 +0000] "GET /robots.txt HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/robots.txt" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36; compatible; OAI-SearchBot/1.0; robots.txt; +https://openai.com/searchbot"
159.203.3.231 - - [03/Nov/2025:07:13:33 +0000] "GET / HTTP/1.0" 200 625 "-" "-"
159.203.3.231 - - [03/Nov/2025:07:13:33 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11) AppleWebKit/538.41 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
159.203.3.231 - - [03/Nov/2025:07:13:33 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11) AppleWebKit/538.41 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
64.62.197.32 - - [03/Nov/2025:08:02:21 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0"
